Question-ID,Principle,Indicators,Questions,Points,Plain-english,Explanation,Author,DAO,Search_Difficulty,Document
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,100.0,Yes,"The Committee Lead role on governance committees can be considered a management role. The Committee Lead is responsible for the ""general coordination of the committee....""",Charles Adjovu,Optimism,Medium,"Committees: Next Steps for Season 2,Introducing Governance Committees,Grants Council: Internal Operating Procedures"
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",100.0,Yes,"Optimism's code of conduct applies to all active delegates, badgeholders, grant recipients (“Optimists”).",Charles Adjovu,Optimism,Medium,Optimism Code of Conduct
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,50.0,Partial,"Optimism Collective defines all the relevant terms in OC's governance. However, the terms are not collated into a single document.",Charles Adjovu,Optimism,Easy,"What is the Optimism Collective?,Operating Manual v0.3.5: The Token House and Citizens' House"
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,50.0,Partial,"Optimism utilizes a bicameral referendum (or proposal-based) system. The governing bodies are the Token House and the Citizens House. OP holders in the Token House vote on the following proposals:
- Governance fund grants
- Protocol upgrades
- Inflation adjustment
- Director removal
- Treasury appropriations
- Rights protection

The Citizens' House is responsible for retroactive public goods funding (RPGF) . The Token House utilizes a token-based weighted scheme, while the Citizens' House utilizes a one-identity, one-vote scheme. In the Token House, OP token holders can vote themselves or delegate to another OP token holder, a delegate. There are no restrictions on who can become a delegate in the Token House. In the Citizens' House, OP token holders who hold a voting badge can vote in RetroPGF rounds. It does not appear to be that delegation is allowed in the Citizens' House.

OP holders in the Token House also approves topic-specific committees to advise OP holders and delegates on proposals.
.",Charles Adjovu,Optimism,Hard,"RetroPGF Round 2,Citizenship,Operating Manual v0.3.5: The Token House and Citizens' House,Optimism Delegation FAQ,What is the Optimism Collective?,DeFi Committee A: Season 2 Recommendations"
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,50.0,Partial,"The Optimism Foundation is tasked with handling disputes that may arise in the Optimism Collective (OC). However, no explicitly defined procedure exists for dispute resolution.",Charles Adjovu,Optimism,Medium,Operating Manual v0.3.5: The Token House and Citizens' House
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,0.0,No,"OP token holders have governance rights, but not economic rights. Though, OP tokens are tradeable on multiple markets, giving OP tokens an economic value.",Charles Adjovu,Optimism,Medium,"OP Economics,OP Allocations"
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,100.0,Yes,"Optimism's process for becoming a Delegate in the Token House governing body is a self-nomination process. Ideally, a OP token holder will create a delegate profile on Optimism Agora.",Charles Adjovu,Optimism,Medium,"Optimism Delegation FAQ,Operating Manual v0.3.5: The Token House and Citizens' House,What it takes to become a Delegate?"
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,100.0,Yes,Members can receive compensation for contributing to OP as a core contributor and as a committee member for Token House governance.,Charles Adjovu,Optimism,Medium,"Phase 1 Committee Formation Proposal Template,Committees: Next Steps for Season 2,What is the Optimism Collective?,OP Allocations"
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,100.0,Yes,"Optimism Collective (OC) has delegates from multiple countries. Notably, Lefteris Karapetsas, located in Berlin, Germany, Europe, and Penn Blockchain, located in Pennsylvania, United States of America, North America.",Charles Adjovu,Optimism,Hard,"Optimism Delegates,Penn Blockchain profile on Tally as an Optimism Delegate,Lefteris Karapetsas profile on Tally as an Optimism Delegate"
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,100.0,Yes,"Optimism Collective (OC) has delegates from multiple countries. Notably, Lefteris Karapetsas, located in Berlin, Germany, Europe, and Penn Blockchain, located in Pennsylvania, United States of America, North America.",Charles Adjovu,Optimism,Hard,"Optimism Delegates,Penn Blockchain profile on Tally as an Optimism Delegate,Lefteris Karapetsas profile on Tally as an Optimism Delegate"
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,100.0,Yes,"Optimism Collective (OC) has managers from multiple geographic regions. Notably, on the Grants Council, GFX Labs from North America, and Krzysztof Urbański from Europe.",Charles Adjovu,Optimism,Very hard,"Committees: Next Steps for Season 2,Builders Sub-Committee,kaereste.eth Profile on Twitter,Growth Experiments Sub-Committee,GFX Labs Profile on Twitter,Grants Council: Season 3 Launch,Grants Council: Internal Operating Procedures"
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,100.0,Yes,Optimism has a multi-sig account via Gnosis Safe.,Charles Adjovu,Optimism,Easy,"Optimism's Multi-sig Profile on Tally,Optimism Foundation Gnosis Safe"
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",0.0,No,Optimism Collective (OP) does not use a specific currency to recognize contributions beyond financial holdings.,Charles Adjovu,Optimism,Easy,"What is the Optimism Collective?,OP Economics,OP Allocations"
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,100.0,Yes,Collective Membership is signified by ownership or possession of the OP token.,Charles Adjovu,Optimism,Easy,What is the Optimism Collective?
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,100.0,Yes,"Optimism Collective redistributes profit/surplus from direct or auctioned sequencer revenue to fund public goods projects via RetroPGF. Notably, for OP token holders, ""[v]alue accrues ... through the productive re-deployment of sequencer revenue."" In other words, the redistribution of direct or auctioned sequencer revenue will lead to OP tokens becoming more valuable, thereby increasing the value of an OP token holder's OP token holdings.",Charles Adjovu,Optimism,Easy,"OP Economics,OP Allocations"
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,100.0,Yes,"Optimism Collective's (OC) Code of Conduct act as a formal accountability mechanism for all active delegates, badgeholders, grant recipients. The Code of Conduct describes the accountability mechanisms in the Accountability section. Additionally, it is the Optimism Foundation's responsibility to ""facilitate the administration of the governance procedures described ... with the aim of ensuring that members of the Collective may participate thoughtfully in governance."" Lastly, the Code of Conduct also describes enforcement actions for violations of the Code of Conduct.",Charles Adjovu,Optimism,Medium,"Optimism Code of Conduct,Operating Manual v0.3.5: The Token House and Citizens' House,Delegate Commitments"
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",50.0,Partial,"Optimism Collective (OC) has an amendment procedure, but the amendment procedure is not well-defined.",Charles Adjovu,Optimism,Easy,Operating Manual v0.3.5: The Token House and Citizens' House
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,50.0,Partial,"Optimism has a defined governance process, described in the OPerating Manual. The Operating Manual describes the types of proposals members of the Token House can vote on, and the procedure for RetroPGF for Citizens' House members. Additionally, the decision-making processes are described for Committees. However, it would be better to have all decision-making processes and bodies described in a single document.",Charles Adjovu,Optimism,Medium,"Operating Manual v0.3.5: The Token House and Citizens' House,Committees: Next Steps for Season 2,Phase 1 Committee Formation Proposal Template"
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,0.0,No,"Optimism Collective's (OC) OP token grants holders governance rights  over the Optimism ecosystem, and economic rights from OP tokens accruing value.",Charles Adjovu,Optimism,Easy,OP Economics
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,0.0,No,OP tokens are tradeable in multiple markets.,Charles Adjovu,Optimism,Easy,Optimism (OP) Profile on CoinGecko
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,50.0,Partial,"Optimism Collective (OC) provides a guide to delegation in How to Delegate Your Tokens, and for submitting a proposal in Submitting Proposals. Additionally, OC provides a standard proposal template. Though, other than the aforementioned resources, there is a lack of resources to educate members on governance activities.
",Charles Adjovu,Optimism,Easy,"Submitting Proposals,How to Delegate Your Tokens,Operating Manual v0.3.5: The Token House and Citizens' House,Standard Proposal Template – Optimism Token House"
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,100.0,Yes,"The Optimism Collective (OC) publishes updates on its activities on the OC Blog on Mirror, and Twitter.",Charles Adjovu,Optimism,Easy,"The Optimism Collective on Mirror,Optimism (✨🔴_🔴✨) Profile on Twitter"
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",100.0,Yes,"The Optimism Collective (OC) has an explicit, clearly articulated statement of its purpose, values and norms, described in the Working Constitution. The OC's mission is to ""reward public goods and build a sustainable future for Ethereum."" The members are expected to adhere to ""the principle that positive impact to the collective should be rewarded with profit to the individual."" Additionally, the vision can be stated as a ""coordinated, collaborative cyberspace,"" or raising Ether's Phoenix.",Charles Adjovu,Optimism,Easy,"What is the Optimism Collective?,The Optimistic Vision,Ether’s Phoenix,Working Constitution of the Optimism Collective"
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",100.0,Yes,Optimism's governance activities can be found on Optimism's profile on Snapshot.,Charles Adjovu,Optimism,Easy,"Optimism Profile on Snapshot,Passed Grant Proposals"
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",100.0,Yes,"Optimism Collective's (OC) organizational documents are publicly accessible in the Optimism Docs, specifically, in the Governance section, the OPerating Manual of the Optimism Collective repository on GitHub, and the Working Constitution on the Optimism Governance Forum. However, the organizational documents can be better organized in the Optimism Docs. ",Charles Adjovu,Optimism,Medium,"Operating Manual v0.3.5: The Token House and Citizens' House,Working Constitution of the Optimism Collective,The Optimistic Vision,Optimism Docs,Governing Documents"
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",100.0,Yes,"Optimism Collective (OC) makes its technological products open-source or source-available. The OP Stack, principally Bedrock, is licensed under the MIT License.
",Charles Adjovu,Optimism,Medium,"Welcome to the OP Stack,MIT License"
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",100.0,Yes,"Optimism has had its software audited multiple times. Most recently, Trailofbits audited Bedrock.",Charles Adjovu,Optimism,Medium,"2023_01-Bedrock_Updates-TrailOfBits.pdf,Optimism's Security Model"
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",100.0,Yes,"Optimism has stated that it operates on the Ethereum blockchain (Layer 1) and the Optimism blockchain (Layer 2). Additionally, Optimism is working on developing Superchain, infrastructure for developing blockchain networks on the OP stack.",Charles Adjovu,Optimism,Medium,"Bridging basics,Optimism Goes m̶u̶l̶t̶i̶ Superchain,Superchain"
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,100.0,Yes,"Optimism Collective (OC) has allocated OP tokens for five different funds: 1) Ecosystem Fund, 2) Retroactive Public Goods Funding (RetroPGF), 3) User airdrops, 4) Core contributors, and 5) Sugar xaddies.

OC also describes the compensation structure for Token House members who participate on committees. OC also runs a bug bounty program. ",Charles Adjovu,Optimism,Medium,"OP Allocations,Committees: Next Steps for Season 2,Bug Bounties,Optimism Profile on Immunefi"
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,100.0,Yes,"Optimism Collective (OC) has transactions with multiple DAOs, such as Bankless DAO, as the recent recipients of RetroPGF Round 2.",Charles Adjovu,Optimism,Medium,Announcing the Results of RetroPGF 2
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,100.0,Yes,Optimism utilizes Gnosis Safe,Charles Adjovu,Optimism,Easy,Optimism's Multi-sig Profile on Tally
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,100.0,Yes,"Optimism utilizes Snapshot, Token House Governance Contract, and Optimism Governance Portal.
",Charles Adjovu,Optimism,Easy,"Optimism Profile on DeepDAO,Operating Manual v0.3.5: The Token House and Citizens' House"
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Easy,
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",50.0,Partial,"Optimism Collective (OP) does educate members on the badge distribution (or voter selection process) and voting mechanism for RetroPGF rounds. However, no information or educational resources could be found regarding Optimism Agora and Token House Governance Contract.",Charles Adjovu,Optimism,Hard,"RetroPGF Round 2,Optimism RetroPGF 2: Project Manual ,Operating Manual v0.3.5: The Token House and Citizens' House,Optimism Agora"
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,50.0,Partial,Optimism Collective does consider the harms that security bugs could cause to users.,Charles Adjovu,Optimism,Very hard,"""Security Policy, Vulnerability Reporting, and Bug Bounties"""
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,50.0,Partial,"Prime DAO requires contributors to provide their past work history and to make a post about joining Prime DAO on social media (e.g., Twitter), but does not explicitly require members to have unique digital identities. ",Charles Adjovu,PrimeDAO,,
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",100.0,Yes,"PrimeDAO has a code of conduct with 4 key principles:

1. Talent Inclusivity
2. Background Diversity
3. Integrity
4. Facilitating the adoption of open finance",Charles Adjovu,PrimeDAO,,
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,0.0,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,100.0,Yes,"PrimeDAO uses a participatory proposal system (i.e., a referendum system), with proposals submitted, deliebrated, and finalized during a builder cycle.",Charles Adjovu,PrimeDAO,,
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,100.0,Yes,"PrimeDAO has a shared ownership model where ownership (governance (REP) and economic rights (PRIME)) is shared among ambassadors and contributors (can be an individual or organization). Generally, a person can vest their PRIME tokens to generate REP tokens. A person can receive PRIME tokens for contributing as an ambassador or contributor, and can then in turn vest their PRIME tokens for REP tokens. Thus, members of PrimeDAO can elect to participate in the DAO's governance systems. It appears that anyone can earn PRIME or REP tokens, as long as they make a contribution. ",Charles Adjovu,PrimeDAO,,
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,100.0,Yes,PrimeDAO accepts contributions of various kinds from contributors including technical development of DeFi protocols and safety assessments of DeFi protocols.,Charles Adjovu,PrimeDAO,,
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,100.0,Yes,PrimeDAO has a Gnosis Safe account. ,Charles Adjovu,PrimeDAO,,
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",100.0,Yes,PrimeDAO utilizes REP tokens to recognize participation in governance activities.,Charles Adjovu,PrimeDAO,,
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,0.0,No,PrimeDAO does not have a collective membership mark.,Charles Adjovu,PrimeDAO,,
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,50.0,Partial,"PrimeDAO has REP tokens for governance rights, D2D (formerly PRIME) tokens for economic rewards, and other cryptocurrencies are used for compensation.However, PRIME tokens (unsure if this is still the same for D2D token) can be locked or vested in return for REP tokens. ",Charles Adjovu,PrimeDAO,,
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,100.0,Yes,REP tokens are non-transferable.,Charles Adjovu,PrimeDAO,,
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,100.0,Yes,PrimeDAO communicates its activities to the public on its Medium blog and Twitter account.,Charles Adjovu,PrimeDAO,,
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",100.0,Yes,"PrimeDAO clearly articulates its purpose, values and norms on its Introduction page on it's wiki.

PrimeDAO's mission is:

Facilitate wide adoption of open finance by coordinating and cultivating projects that promote safety, reliability, liquidity, and open access, while avoiding centralized appropriation of critical financial infrastructure through decentralized governance.

PrimeDAO has four key goals:

1. Liquidity: In DeFi, liquidity must be efficiently utilized such that slippage and user experience are on par with centralized exchanges. Aggregation and layer-2 technologies available today provide powerful tools that realize economies of scale. PrimeDAO’s first product is a liquidity aggregator that provides best-price discovery, slippage reduction, and reliable settlement.
2. Safety: Smart contracts need to be less exploitable than centralized exchanges and must function as intended under all circumstances (e.g. network congestion, rapid market movements). Cross-project audits, increased integration testing, ecosystem bug bounties, and insurance mechanisms can improve overall safety and confidence. As one of its first products, PrimeDAO will prioritize creating a decentralized DeFi Safety Interface that informs and guides DeFi adopters.
3. Reliability: Price feed accuracy and transaction settlement success rates must be on par with those of centralized exchanges. When things go wrong, consensus decisions on remedies must swiftly be enacted so that mainstream users feel as secure as they would using a centralized exchange.
4. Governance: PrimeDAO will govern and allocate resources towards contributors for building, auditing, and maintaining its DeFi mechanisms and products. PrimeDAO aims to form a widely networked organization of interlinked DAOs, builder teams, and key individuals that efficiently coordinate systemic DeFi advancement, forming a sustainable home and neighborhood for DeFi builders and enthusiasts.",Charles Adjovu,PrimeDAO,,
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",100.0,Yes,"PrimeDAO's governance activities can be found on third party DAO discovery engines for free to low cost. Additionally, PrimeDAO's governance activities can be found on DAOstack and Snapshot for free to low cost. ",Charles Adjovu,PrimeDAO,,
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",100.0,Yes,PrimeDAO's organizational documents can be found on it's wiki or blog. ,Charles Adjovu,PrimeDAO,,
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",100.0,Yes,PrimeDAO explicitly states that it interacts with the Ethereum blockchain and the xDAI blockchain.,Charles Adjovu,PrimeDAO,,
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,100.0,Yes,"PrimeDAO describes how contributers are compensated for the contributions in their tokenomics model. Though, there may be some changes as PrimeDAO transitions from the PRIME token to D2D token.",Charles Adjovu,PrimeDAO,,
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,100.0,Yes,"PrimeDAO has a planned partnership with FiatDAO, and OlympusDAO",Charles Adjovu,PrimeDAO,,
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,100.0,Yes,PrimeDAO has a current transaction with OlympusDAO,Charles Adjovu,PrimeDAO,,
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,100.0,Yes,PrimeDAO is or has used the Prime Deals platform.,Charles Adjovu,PrimeDAO,,
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,100.0,Yes,PrimeDAO utilizes Gnosis Safe for treasury management.,Charles Adjovu,PrimeDAO,,
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,100.0,Yes,PrimeDAO uses Snapshot and DAOstack for decision-making.,Charles Adjovu,PrimeDAO,,
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilites of algorithmic decsion-making?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,50.0,Partial,"Synthetix does not require SNX token holders to have a unique digital identity. However, council members (or elected officials) are presumed to have a unique digital identity because they are required to provide only one Ethereum address to participate in governance matters.",Charles Adjovu,Synthetix,Medium,"Elections and Voting,Spartan Council,Burt Rock (0x1f2B0633BB0623dCCebE57932d6731Ae93f5213E) Profile on Synthetix's Spartan Council,Synthetix Token (SNX)"
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,100.0,Yes,The leadership roles in Synthetix are the elected roles in the councils and the core contributor committee.,Charles Adjovu,Synthetix,Easy,"Governance Framework,Core Contributor Committee"
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,100.0,Yes,"A committee member on the Core Contributor Committee should be considered a management role. The CCC members ""onboard and offboard CC's, decide on appropriate resourcing, structure and prioritize CC's work, establish stipends and other compensations, and negotiate with the Treasuary Council, and outside partners.""",Charles Adjovu,Synthetix,Medium,Core Contributor Committee
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Hard,"Community Governance Process,Uniswap Governance Forum "
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,50.0,Partial,"Synthetix defines the governing bodies and artifacts that are part of the governance framework. Additionally, Synthetix defines the SNX token and staking. However, Synthetix has not collated these terms into one, easy to navigate document.",Charles Adjovu,Synthetix,Medium,"Synthetix Report on DAOmeter,Synthetix Docs"
