Question-ID,Principle,Indicators,Questions,Plain-english,Explanation,Author,DAO,Search_Difficulty,Document,Response-Values-2024_03_10,Points,Points-NA
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,Yes,"The Optimism Collective (OC) publishes updates on its activities on the OC Blog on Mirror, and Twitter.",Charles Adjovu,Optimism,Easy,"The Optimism Collective on Mirror,Optimism (✨🔴_🔴✨) Profile on Twitter",Yes,100.0,100.000
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",Yes,"The Optimism Collective (OC) has an explicit, clearly articulated statement of its purpose, values and norms, described in the Working Constitution. The OC's mission is to ""reward public goods and build a sustainable future for Ethereum."" The members are expected to adhere to ""the principle that positive impact to the collective should be rewarded with profit to the individual."" Additionally, the vision can be stated as a ""coordinated, collaborative cyberspace,"" or raising Ether's Phoenix.",Charles Adjovu,Optimism,Easy,"What is the Optimism Collective?,The Optimistic Vision,Ether’s Phoenix,Working Constitution of the Optimism Collective",Yes,100.0,100.000
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,,Does not answer question,0.0,0.000
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",Yes,Optimism's governance activities can be found on Optimism's profile on Snapshot.,Charles Adjovu,Optimism,Easy,"Optimism Profile on Snapshot,Passed Grant Proposals",Yes,100.0,100.000
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",Yes,"Optimism Collective's (OC) organizational documents are publicly accessible in the Optimism Docs, specifically, in the Governance section, the OPerating Manual of the Optimism Collective repository on GitHub, and the Working Constitution on the Optimism Governance Forum. However, the organizational documents can be better organized in the Optimism Docs. ",Charles Adjovu,Optimism,Medium,"Operating Manual v0.3.5: The Token House and Citizens' House,Working Constitution of the Optimism Collective,The Optimistic Vision,Optimism Docs,Governing Documents",Yes,100.0,100.000
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",Yes,"Optimism Collective (OC) makes its technological products open-source or source-available. The OP Stack, principally Bedrock, is licensed under the MIT License.
",Charles Adjovu,Optimism,Medium,"Welcome to the OP Stack,MIT License",Yes,100.0,100.000
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",Yes,"Optimism has had its software audited multiple times. Most recently, Trailofbits audited Bedrock.",Charles Adjovu,Optimism,Medium,"2023_01-Bedrock_Updates-TrailOfBits.pdf,Optimism's Security Model",Yes,100.0,100.000
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",Yes,"Optimism has stated that it operates on the Ethereum blockchain (Layer 1) and the Optimism blockchain (Layer 2). Additionally, Optimism is working on developing Superchain, infrastructure for developing blockchain networks on the OP stack.",Charles Adjovu,Optimism,Medium,"Bridging basics,Optimism Goes m̶u̶l̶t̶i̶ Superchain,Superchain",Yes,100.0,100.000
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,Yes,"Optimism Collective (OC) has allocated OP tokens for five different funds: 1) Ecosystem Fund, 2) Retroactive Public Goods Funding (RetroPGF), 3) User airdrops, 4) Core contributors, and 5) Sugar xaddies.

OC also describes the compensation structure for Token House members who participate on committees. OC also runs a bug bounty program. ",Charles Adjovu,Optimism,Medium,"OP Allocations,Committees: Next Steps for Season 2,Bug Bounties,Optimism Profile on Immunefi",Yes,100.0,100.000
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,,Does not answer question,0.0,0.000
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,Yes,"Optimism Collective (OC) has transactions with multiple DAOs, such as Bankless DAO, as the recent recipients of RetroPGF Round 2.",Charles Adjovu,Optimism,Medium,Announcing the Results of RetroPGF 2,Yes,100.0,100.000
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,,Does not answer question,0.0,0.000
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,Yes,Optimism utilizes Gnosis Safe,Charles Adjovu,Optimism,Easy,Optimism's Multi-sig Profile on Tally,Yes,100.0,100.000
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Very hard,,Does not answer question,0.0,0.000
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,Yes,"Optimism utilizes Snapshot, Token House Governance Contract, and Optimism Governance Portal.
",Charles Adjovu,Optimism,Easy,"Optimism Profile on DeepDAO,Operating Manual v0.3.5: The Token House and Citizens' House",Yes,100.0,100.000
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Optimism,Easy,,Does not answer question,0.0,0.000
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",Partial,"Optimism Collective (OP) does educate members on the badge distribution (or voter selection process) and voting mechanism for RetroPGF rounds. However, no information or educational resources could be found regarding Optimism Agora and Token House Governance Contract.",Charles Adjovu,Optimism,Hard,"RetroPGF Round 2,Optimism RetroPGF 2: Project Manual ,Operating Manual v0.3.5: The Token House and Citizens' House,Optimism Agora",Partial,50.0,50.000
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,Partial,Optimism Collective does consider the harms that security bugs could cause to users.,Charles Adjovu,Optimism,Very hard,"""Security Policy, Vulnerability Reporting, and Bug Bounties""",Partial,50.0,50.000
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,Partial,"Prime DAO requires contributors to provide their past work history and to make a post about joining Prime DAO on social media (e.g., Twitter), but does not explicitly require members to have unique digital identities. ",Charles Adjovu,PrimeDAO,,,Partial,50.0,50.000
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",Yes,"PrimeDAO has a code of conduct with 4 key principles:

1. Talent Inclusivity
2. Background Diversity
3. Integrity
4. Facilitating the adoption of open finance",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,Does not answer question,Unable to find an adequate source.,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,Yes,"PrimeDAO uses a participatory proposal system (i.e., a referendum system), with proposals submitted, deliebrated, and finalized during a builder cycle.",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,Yes,"PrimeDAO has a shared ownership model where ownership (governance (REP) and economic rights (PRIME)) is shared among ambassadors and contributors (can be an individual or organization). Generally, a person can vest their PRIME tokens to generate REP tokens. A person can receive PRIME tokens for contributing as an ambassador or contributor, and can then in turn vest their PRIME tokens for REP tokens. Thus, members of PrimeDAO can elect to participate in the DAO's governance systems. It appears that anyone can earn PRIME or REP tokens, as long as they make a contribution. ",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,Yes,PrimeDAO accepts contributions of various kinds from contributors including technical development of DeFi protocols and safety assessments of DeFi protocols.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,Yes,PrimeDAO has a Gnosis Safe account. ,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",Yes,PrimeDAO utilizes REP tokens to recognize participation in governance activities.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,No,PrimeDAO does not have a collective membership mark.,Charles Adjovu,PrimeDAO,,,No,0.0,0.000
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,Partial,"PrimeDAO has REP tokens for governance rights, D2D (formerly PRIME) tokens for economic rewards, and other cryptocurrencies are used for compensation.However, PRIME tokens (unsure if this is still the same for D2D token) can be locked or vested in return for REP tokens. ",Charles Adjovu,PrimeDAO,,,Partial,50.0,50.000
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,Yes,REP tokens are non-transferable.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,Yes,PrimeDAO communicates its activities to the public on its Medium blog and Twitter account.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",Yes,"PrimeDAO clearly articulates its purpose, values and norms on its Introduction page on it's wiki.

PrimeDAO's mission is:

Facilitate wide adoption of open finance by coordinating and cultivating projects that promote safety, reliability, liquidity, and open access, while avoiding centralized appropriation of critical financial infrastructure through decentralized governance.

PrimeDAO has four key goals:

1. Liquidity: In DeFi, liquidity must be efficiently utilized such that slippage and user experience are on par with centralized exchanges. Aggregation and layer-2 technologies available today provide powerful tools that realize economies of scale. PrimeDAO’s first product is a liquidity aggregator that provides best-price discovery, slippage reduction, and reliable settlement.
2. Safety: Smart contracts need to be less exploitable than centralized exchanges and must function as intended under all circumstances (e.g. network congestion, rapid market movements). Cross-project audits, increased integration testing, ecosystem bug bounties, and insurance mechanisms can improve overall safety and confidence. As one of its first products, PrimeDAO will prioritize creating a decentralized DeFi Safety Interface that informs and guides DeFi adopters.
3. Reliability: Price feed accuracy and transaction settlement success rates must be on par with those of centralized exchanges. When things go wrong, consensus decisions on remedies must swiftly be enacted so that mainstream users feel as secure as they would using a centralized exchange.
4. Governance: PrimeDAO will govern and allocate resources towards contributors for building, auditing, and maintaining its DeFi mechanisms and products. PrimeDAO aims to form a widely networked organization of interlinked DAOs, builder teams, and key individuals that efficiently coordinate systemic DeFi advancement, forming a sustainable home and neighborhood for DeFi builders and enthusiasts.",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",Yes,"PrimeDAO's governance activities can be found on third party DAO discovery engines for free to low cost. Additionally, PrimeDAO's governance activities can be found on DAOstack and Snapshot for free to low cost. ",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",Yes,PrimeDAO's organizational documents can be found on it's wiki or blog. ,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",Yes,PrimeDAO explicitly states that it interacts with the Ethereum blockchain and the xDAI blockchain.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,Yes,"PrimeDAO describes how contributers are compensated for the contributions in their tokenomics model. Though, there may be some changes as PrimeDAO transitions from the PRIME token to D2D token.",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,Yes,"PrimeDAO has a planned partnership with FiatDAO, and OlympusDAO",Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,Yes,PrimeDAO has a current transaction with OlympusDAO,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,Yes,PrimeDAO is or has used the Prime Deals platform.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,Yes,PrimeDAO utilizes Gnosis Safe for treasury management.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,Yes,PrimeDAO uses Snapshot and DAOstack for decision-making.,Charles Adjovu,PrimeDAO,,,Yes,100.0,100.000
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilites of algorithmic decsion-making?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,Does not answer question,Unable to find an adequate source,Charles Adjovu,PrimeDAO,,,Does not answer question,0.0,0.000
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,Partial,"Synthetix does not require SNX token holders to have a unique digital identity. However, council members (or elected officials) are presumed to have a unique digital identity because they are required to provide only one Ethereum address to participate in governance matters.",Charles Adjovu,Synthetix,Medium,"Elections and Voting,Spartan Council,Burt Rock (0x1f2B0633BB0623dCCebE57932d6731Ae93f5213E) Profile on Synthetix's Spartan Council,Synthetix Token (SNX)",Partial,50.0,50.000
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,Yes,The leadership roles in Synthetix are the elected roles in the councils and the core contributor committee.,Charles Adjovu,Synthetix,Easy,"Governance Framework,Core Contributor Committee",Yes,100.0,100.000
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,Yes,"A committee member on the Core Contributor Committee should be considered a management role. The CCC members ""onboard and offboard CC's, decide on appropriate resourcing, structure and prioritize CC's work, establish stipends and other compensations, and negotiate with the Treasuary Council, and outside partners.""",Charles Adjovu,Synthetix,Medium,Core Contributor Committee,Yes,100.0,100.000
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Hard,"Community Governance Process,Uniswap Governance Forum ",Does not answer question,0.0,0.000
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,Partial,"Synthetix defines the governing bodies and artifacts that are part of the governance framework. Additionally, Synthetix defines the SNX token and staking. However, Synthetix has not collated these terms into one, easy to navigate document.",Charles Adjovu,Synthetix,Medium,"Synthetix Report on DAOmeter,Synthetix Docs",Partial,50.0,50.000
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,Partial,"Synthetix utilizes a representative system were SNX token holders elect members to serve on councils (or governing bodies). Generally, voting weight is quadratically weighted for the amount of SNX staked, except for the Treasury council elections. The voting mechanism for elections appears to be majority-rule. It appears that any SNX staker can vote in elections. Lastly, the councils rely on rely on a self-nomination process to populate candidates, l. For the Core Contributor Committee (CCC), the Core Contributors (CC)   rely on a self-nomination process to populate candidates, and  a ranked-choice voting mechanism to select candidates.",Charles Adjovu,Synthetix,Easy,"Core Contributor Committee,Governance Framework,Synthetix Token (SNX),Treasury Council,Elections and Voting",Partial,50.0,50.000
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,Yes,SNX token holders have governance rights and economic rights.,Charles Adjovu,Synthetix,Medium,"Synthetix Token (SNX),Staking Guide,Elections and Voting,Governance Framework",Yes,100.0,100.000
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,Partial,"Synthetix has a well-defined procedure for taking leadership roles on multiple councils (Spartan Council, Treasury Council, Grants Council, Ambassador Council) through an election process, with token holders voting fully on-chain with the Synthetix Governance Module.",Charles Adjovu,Synthetix,Easy,Elections and Voting,Partial,50.0,50.000
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,Partial,Members can receive rewards for staking SNX tokens and for being elected to a council/committee.,Charles Adjovu,Synthetix,Easy,"Synthetix Token (SNX),Elections and Voting,Spartan Council",Partial,50.0,50.000
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,Yes,"Synthetix has council members from multiple geographic regions. Notably, cyberduck, located in Europe, and ML_sudo, located in North America. ",Charles Adjovu,Synthetix,Medium,"cyberduck Profile on Synthetix's Spartan Council,ml_sudo Profile on Synthetix's Spartan Council,cyberduck Profile on Twitter,ml_sudo Profile on Twitter",Yes,100.0,100.000
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,Yes,"Synthetix has council members from multiple geographic regions. Notably, cyberduck, located in Europe, and ML_sudo, located in North America. ",Charles Adjovu,Synthetix,Medium,"cyberduck Profile on Synthetix's Spartan Council,ml_sudo Profile on Synthetix's Spartan Council,cyberduck Profile on Twitter,ml_sudo Profile on Twitter",Yes,100.0,100.000
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,Yes,"The Synthetix treasury at Ethereum address 0x99f4176ee457afedffcb1839c7ab7a030a5e4a92 is managed by the Synthetix Treasury Council, a council elected by SNX token holders who are staking their tokens.
",Charles Adjovu,Synthetix,Medium,"Synthetix: Treasury Council on Etherscan,SIP-155: Deprecating the synthetixDAO (ratifying the Treasury Council),Treasury Council,Synthetix Report on DAOmeter",Yes,100.0,100.000
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",No,Synthetix does not use a specific currency to recognize contributions beyond financial. ,Charles Adjovu,Synthetix,Easy,"Synthetix Token (SNX),Core Contributor Committee",No,0.0,0.000
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,Yes,Collective Membership is signified by ownership or possession of the SNX token.,Charles Adjovu,Synthetix,Easy,Synthetix Token (SNX),Yes,100.0,100.000
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,No,"SNX token holders do not earn profits/surplus on a basis other than capital holdings (i.e., the amount of SNX tokens staked). ",Charles Adjovu,Synthetix,Easy,"The Role of Stakers,Synthetix Token (SNX)",No,0.0,0.000
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,Yes,"The election process for councils, especially the four-month long terms for elected members, can be considered an accountability mechanism because under-performing or misbehaving elected members can be replaced at the next election cycle. The Spartan Council also has the power to ""slash a pDAO member's security bond if they act maliciously or bypass legitimate governance processes."" The pDAO can also automatically dismiss a Spartan Council member (i.e., Spartan Councillor) for inactivity.",Charles Adjovu,Synthetix,Medium,"Elections and Voting,Spartan Council,SIP-274: Introduction of an Inactivity Threshold in Spartan Council SIP and SCCP Vote Participation,SIP-274-Initiated Dismissal of 0x6a6d127afF67436D08fe4a295e7ac4D20508b26A from Spartan Council",Yes,100.0,100.000
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",Yes,Synthetix's amendment procedure is the passage of a new SIP/SCCP to replace or modify an existing SIP/SCCP.,Charles Adjovu,Synthetix,Easy,"Synthetix Improvement Proposals (SIPs) Repository,Synthetix Improvement Proposals (SIPs),SIP-286: Reduction in the Length of Council Election Periods,How to write SIP/SCCPs",Yes,100.0,100.000
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,Partial,"Synthetix has a defined governance process, and provides a graphic showing the interaction between, and responsibilities of, decision-making and executive bodies. However, Synthetix does not provide information on the decision-making processes used within councils and the Core Contributor Committee.",Charles Adjovu,Synthetix,Medium,"Synthetix Governance Web-based Interface,Governance Framework",Partial,50.0,50.000
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",Does not answer question,Unable to find an adequate source,Charles Adjovu,Synthetix,Very hard,,Does not answer question,0.0,0.000
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,No,"Uniswap's token (UNI) acts as a governance token over the Uniswap protocol, and as an economic token because UNI token holders can receive fees if UNI token holders decide to turn on the fee switch.

Synthetix's SNX token grants holders governance rights (the right to vote in elections and stand for nomination in elections) and economic rights (earn rewards from trading fees and inflationary rewards via staking).",Charles Adjovu,Synthetix,Easy,Synthetix Token (SNX),No,0.0,0.000
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,No,SNX tokens are tradeable in multiple markets.,Charles Adjovu,Synthetix,Easy,Synthetix (SNX) Profile on CoinGecko,No,0.0,0.000
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,Partial,"Synthetix provides an Elections and Voting
guide covering elections, voting and the governance process, and a How to write SIP/SCCPs guide for writing SIPs/SCCPs. However, guides for being a council member or sitting on the Core Contributor Committee could not be found.",Charles Adjovu,Synthetix,Easy,"Elections and Voting,How to write SIP/SCCPs",Partial,50.0,50.000
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,Yes,Synthetix publishes updates on its activities on the Synthetix Blog and Twitter.,Charles Adjovu,Synthetix,Easy,"Synthetix Blog,Synthetix Profile on Twitter",Yes,100.0,100.000
